,plate,object_id,ra,dec,mag_B,mag_R,spectrum_class,spectrum_length,red_bord_position,dx,dy
0,fbs1461,DFBSJ083254.33+225544.9,08:32:54.331,+22:55:44.99,18.7,15.51,U,55,16,5632,4503
1,fbs1461,DFBSJ083257.50+230101.3,08:32:57.509,+23:01:01.39,13.65,12.9,OK,99,17,5611,4709
2,fbs1461,DFBSJ083258.10+225749.7,08:32:58.106,+22:57:49.77,13.88,12.65,OK,117,17,5601,4585
3,fbs1461,DFBSJ083300.59+225625.0,08:33:00.590,+22:56:25.00,15.62,14.09,OK,84,18,5578,4531
4,fbs1461,DFBSJ083300.88+225231.3,08:33:00.888,+22:52:31.31,17.53,15.85,U,60,18,5570,4379
5,fbs1461,DFBSJ083303.41+225748.5,08:33:03.419,+22:57:48.52,16.57,15.05,U,78,18,5554,4586
6,fbs1461,DFBSJ083306.50+225414.6,08:33:06.504,+22:54:14.60,14.15,13.65,OK,99,17,5522,4448
7,fbs1461,DFBSJ083306.83+225706.0,08:33:06.839,+22:57:06.03,16.93,16.38,U,74,26,5523,4559
8,fbs1461,DFBSJ083307.30+230439.9,08:33:07.301,+23:04:39.99,16.1,15.73,U,82,17,5528,4854
9,fbs1461,DFBSJ083309.79+230557.3,08:33:09.797,+23:05:57.35,16.71,16.46,N,71,16,5508,4904
10,fbs1461,DFBSJ083310.98+225526.0,08:33:10.987,+22:55:26.06,17.31,16.92,U,23,12,5484,4495
11,fbs1461,DFBSJ083311.26+225300.5,08:33:11.263,+22:53:00.57,15.92,14.76,U,120,18,5478,4401
12,fbs1461,DFBSJ083311.69+225032.6,08:33:11.697,+22:50:32.68,14.69,13.69,NL,117,18,5471,4305
13,fbs1461,DFBSJ083312.00+225025.5,08:33:12.000,+22:50:25.57,14.69,13.69,NL,117,18,5469,4301
14,fbs1461,DFBSJ083312.25+230301.2,08:33:12.257,+23:03:01.20,16.25,15.06,NL,67,17,5482,4791
15,fbs1461,DFBSJ083312.74+230159.7,08:33:12.740,+23:01:59.78,13.91,13.37,NL,100,20,5477,4751
16,fbs1461,DFBSJ083312.85+225341.4,08:33:12.859,+22:53:41.41,14.29,13.6,OK,104,18,5465,4428
17,fbs1461,DFBSJ083316.51+225439.5,08:33:16.512,+22:54:39.52,14.91,14.11,OK,88,16,5434,4467
18,fbs1461,DFBSJ083317.85+225005.9,08:33:17.856,+22:50:05.91,13.82,13.08,OK,109,17,5416,4290
19,fbs1461,DFBSJ083321.33+230001.7,08:33:21.332,+23:00:01.75,16.59,16.29,U,77,29,5398,4677
20,fbs1461,DFBSJ083322.30+230646.0,08:33:22.308,+23:06:46.03,13.22,12.11,NL,107,24,5398,4940
21,fbs1461,DFBSJ083324.18+230046.9,08:33:24.183,+23:00:46.97,16.6,14.98,U,81,18,5373,4707
22,fbs1461,DFBSJ083324.45+225442.0,08:33:24.450,+22:54:42.06,16.1,15.39,U,73,18,5363,4471
23,fbs1461,DFBSJ083324.75+230422.5,08:33:24.755,+23:04:22.53,17.08,16.74,U,68,24,5373,4847
24,fbs1461,DFBSJ083325.60+225657.8,08:33:25.600,+22:56:57.82,16.61,16.18,U,62,17,5356,4559
25,fbs1461,DFBSJ083326.13+230344.8,08:33:26.131,+23:03:44.82,16.42,16.31,U,73,18,5360,4823
26,fbs1461,DFBSJ083326.71+230741.5,08:33:26.715,+23:07:41.50,16.04,15.37,U,90,18,5360,4977
27,fbs1461,DFBSJ083327.56+225226.7,08:33:27.561,+22:52:26.75,15.8,15.25,U,94,19,5333,4384
28,fbs1461,DFBSJ083328.88+230359.2,08:33:28.882,+23:03:59.22,16.8,15.75,U,76,18,5336,4833
29,fbs1461,DFBSJ083329.99+224936.4,08:33:29.991,+22:49:36.49,16.56,15.45,U,63,18,5307,4274
30,fbs1461,DFBSJ083330.60+225228.4,08:33:30.607,+22:52:28.46,12.36,11.85,OK,34,19,5306,4386
31,fbs1461,DFBSJ083330.99+225918.7,08:33:30.996,+22:59:18.78,14.69,13.61,OK,111,18,5311,4652
32,fbs1461,DFBSJ083331.31+224958.4,08:33:31.317,+22:49:58.40,14.85,13.88,U,90,17,5296,4289
33,fbs1461,DFBSJ083331.73+225302.0,08:33:31.735,+22:53:02.00,15.07,14.31,OK,90,17,5296,4408
34,fbs1461,DFBSJ083332.31+230644.0,08:33:32.311,+23:06:44.03,14.94,14.46,NL,89,14,5309,4941
35,fbs1461,DFBSJ083332.34+230716.3,08:33:32.343,+23:07:16.30,14.66,14.57,NL,110,17,5309,4962
36,fbs1461,DFBSJ083332.46+225749.5,08:33:32.461,+22:57:49.54,14.03,13.46,OK,109,18,5296,4595
37,fbs1461,DFBSJ083334.66+230137.9,08:33:34.669,+23:01:37.96,14.21,13.27,OK,91,16,5281,4744
38,fbs1461,DFBSJ083335.51+225305.4,08:33:35.517,+22:53:05.48,15.92,15.32,U,88,17,5263,4411
39,fbs1461,DFBSJ083335.93+224809.1,08:33:35.931,+22:48:09.10,15.68,15.05,OK,94,18,5253,4219
40,fbs1461,DFBSJ083336.14+230107.3,08:33:36.149,+23:01:07.38,15.94,15.43,U,84,17,5268,4724
41,fbs1461,DFBSJ083336.61+230606.8,08:33:36.613,+23:06:06.83,16.52,15.69,U,67,16,5270,4918
42,fbs1461,DFBSJ083336.63+225459.0,08:33:36.634,+22:54:59.01,15.99,15.31,U,81,18,5255,4485
43,fbs1461,DFBSJ083337.67+230626.8,08:33:37.672,+23:06:26.81,16.18,15.57,U,100,19,5261,4932
44,fbs1461,DFBSJ083338.10+225331.2,08:33:38.106,+22:53:31.21,15.54,14.91,OK,106,18,5240,4429
45,fbs1461,DFBSJ083342.00+225433.6,08:33:42.000,+22:54:33.64,14.53,13.62,NL,93,19,5207,4470
46,fbs1461,DFBSJ083342.02+230647.3,08:33:42.021,+23:06:47.34,15.12,14.15,OK,89,18,5223,4946
47,fbs1461,DFBSJ083342.46+225520.1,08:33:42.469,+22:55:20.11,17.59,15.89,NL,32,18,5204,4501
48,fbs1461,DFBSJ083343.91+225712.0,08:33:43.919,+22:57:12.02,15.78,15.31,U,74,16,5193,4574
49,fbs1461,DFBSJ083344.70+225839.6,08:33:44.701,+22:58:39.61,15.73,15.29,U,76,14,5188,4631
50,fbs1461,DFBSJ083345.81+225124.8,08:33:45.811,+22:51:24.82,15.06,14.15,OK,101,18,5169,4349
51,fbs1461,DFBSJ083345.82+225401.6,08:33:45.820,+22:54:01.67,14.3,13.47,OK,120,18,5172,4451
52,fbs1461,DFBSJ083346.03+225847.8,08:33:46.035,+22:58:47.87,15.51,14.44,OK,78,17,5177,4637
53,fbs1461,DFBSJ083347.00+230306.8,08:33:47.006,+23:03:06.89,15.8,15.32,OK,102,16,5174,4805
54,fbs1461,DFBSJ083348.76+230218.8,08:33:48.762,+23:02:18.81,16.21,15.17,U,82,18,5157,4774
55,fbs1461,DFBSJ083349.12+230516.1,08:33:49.123,+23:05:16.17,16.84,15.6,U,64,17,5158,4889
56,fbs1461,DFBSJ083353.14+225944.5,08:33:53.145,+22:59:44.56,16.01,15.32,U,90,17,5115,4675
57,fbs1461,DFBSJ083354.01+225811.7,08:33:54.016,+22:58:11.77,14.62,14.26,NL,93,17,5105,4616
58,fbs1461,DFBSJ083354.16+225759.9,08:33:54.162,+22:57:59.96,14.64,14.26,NL,84,12,5103,4608
59,fbs1461,DFBSJ083354.23+225227.5,08:33:54.234,+22:52:27.59,16.41,15.33,U,76,17,5095,4392
60,fbs1461,DFBSJ083354.41+225002.6,08:33:54.412,+22:50:02.69,16.63,15.47,U,68,17,5091,4298
61,fbs1461,DFBSJ083355.96+225614.4,08:33:55.960,+22:56:14.42,14.89,14.34,OK,98,17,5085,4540
62,fbs1461,DFBSJ083357.90+225332.2,08:33:57.903,+22:53:32.23,15.85,15.11,OK,81,18,5064,4435
63,fbs1461,DFBSJ083358.15+225803.5,08:33:58.153,+22:58:03.57,15.86,15.15,OK,100,16,5068,4611
64,fbs1461,DFBSJ083400.93+225052.8,08:34:00.938,+22:50:52.85,16.64,15.62,U,73,18,5034,4333
65,fbs1461,DFBSJ083402.23+230331.7,08:34:02.231,+23:03:31.77,15.35,14.48,OK,83,17,5039,4826
66,fbs1461,DFBSJ083402.27+225702.7,08:34:02.275,+22:57:02.73,13.35,12.41,OK,107,19,5030,4573
67,fbs1461,DFBSJ083403.76+230304.4,08:34:03.766,+23:03:04.46,13.86,13.14,OK,96,20,5025,4808
68,fbs1461,DFBSJ083405.48+225248.3,08:34:05.487,+22:52:48.31,17.54,16.09,U,56,18,4996,4409
69,fbs1461,DFBSJ083406.70+230317.9,08:34:06.706,+23:03:17.91,14.84,14.19,OK,99,16,4999,4818
70,fbs1461,DFBSJ083409.10+225601.3,08:34:09.103,+22:56:01.32,15.27,14.23,NL,100,17,4968,4536
71,fbs1461,DFBSJ083409.33+225749.0,08:34:09.333,+22:57:49.03,13.85,12.19,NL,120,20,4968,4605
